Reporting Economy,Product/Sector,2017,2018,2019,2020,2021,2022
Afghanistan,Agricultural products,637,725,730,694,732,650
Afghanistan,Fuels and mining products,51,100,89,51,158,304
Afghanistan,Manufactures,34,34,44,25,143,37
Afghanistan,Iron and steel,0,0,0,0,0,0
Afghanistan,Chemicals,1,0,1,1,2,1
Afghanistan,Pharmaceuticals,0,0,0,0,0,0
Afghanistan,Machinery and transport equipment,0,4,1,5,77,5
Afghanistan,Office and telecom equipment,0,0,0,2,59,1
Afghanistan,Electronic data processing and office equipment,0,0,0,0,55,0
Afghanistan,Telecommunications equipment,0,0,0,1,2,0
Afghanistan,Integrated circuits and electronic components,0,0,0,0,2,0
Afghanistan,Transport equipment,0,2,1,2,5,1
Afghanistan,Automotive products,0,2,1,0,1,1
Afghanistan,Textiles,25,23,30,10,14,17
Afghanistan,Clothing,0,0,0,0,1,1
Albania,Agricultural products,274,317,338,374,448,477
Albania,Fuels and mining products,390,551,473,377,751,1110
Albania,Manufactures,1626,1999,1902,1750,2355,2716
Albania,Iron and steel,188,296,231,198,461,519
Albania,Chemicals,28,42,49,48,75,100
Albania,Pharmaceuticals,3,3,4,4,4,4
Albania,Machinery and transport equipment,128,166,190,206,277,343
Albania,Office and telecom equipment,11,14,14,16,19,24
Albania,Electronic data processing and office equipment,4,2,2,3,4,4
Albania,Telecommunications equipment,7,9,7,11,13,18
Albania,Integrated circuits and electronic components,0,2,5,2,2,2
Albania,Transport equipment,21,21,26,37,36,48
Albania,Automotive products,19,14,20,30,28,41
Albania,Textiles,21,26,30,42,39,45
Albania,Clothing,493,565,537,490,564,583
Algeria,Agricultural products,370,278,305,382,485,392
Algeria,Fuels and mining products,33881,39603,33176,19847,34242,54909
Algeria,Manufactures,940,1858,1772,1686,3797,5568
Algeria,Iron and steel,10,55,121,56,905,980
Algeria,Chemicals,777,1541,1405,1379,2456,3817
Algeria,Pharmaceuticals,5,6,4,2,3,2
Algeria,Machinery and transport equipment,81,159,105,103,116,100
Algeria,Office and telecom equipment,13,11,14,6,6,4
Algeria,Electronic data processing and office equipment,1,1,0,0,1,0
Algeria,Telecommunications equipment,8,10,13,5,5,4
Algeria,Integrated circuits and electronic components,4,0,1,0,0,0
Algeria,Transport equipment,21,21,21,37,23,9
Algeria,Automotive products,0,7,6,6,19,2
Algeria,Textiles,1,3,7,19,11,8
Algeria,Clothing,0,0,0,4,3,1
Angola,Agricultural products,239,288,135,136,93,119
Angola,Fuels and mining products,33909,40109,34630,20825,32894,49646
Angola,Manufactures,465,268,668,1173,1482,1504
Angola,Iron and steel,28,21,19,13,23,36
Angola,Chemicals,19,17,13,10,6,15
Angola,Pharmaceuticals,0,0,0,0,0,0
Angola,Machinery and transport equipment,270,138,544,1073,1281,1272
Angola,Office and telecom equipment,7,5,4,2,5,10
Angola,Electronic data processing and office equipment,2,2,1,1,2,1
Angola,Telecommunications equipment,4,3,2,1,3,8
Angola,Integrated circuits and electronic components,1,1,0,0,0,0
Angola,Transport equipment,35,16,388,971,1186,1127
Angola,Automotive products,13,6,10,6,7,6
Angola,Textiles,2,1,1,1,1,1
Angola,Clothing,0,0,0,0,0,0
Argentina,Agricultural products,35574,34341,38999,36093,42673,53816
Argentina,Fuels and mining products,3489,2829,2629,1590,2103,5711
Argentina,Manufactures,16148,11988,10788,7923,10563,13965
Argentina,Iron and steel,634,48,54,37,8,67
Argentina,Chemicals,5501,4284,3549,3097,3952,5235
Argentina,Pharmaceuticals,889,722,721,708,811,896
Argentina,Machinery and transport equipment,7698,5796,5302,3558,5410,7234
Argentina,Office and telecom equipment,68,39,47,38,22,30
Argentina,Electronic data processing and office equipment,16,16,13,7,6,6
Argentina,Telecommunications equipment,49,22,29,27,13,19
Argentina,Integrated circuits and electronic components,3,2,5,4,3,5
Argentina,Transport equipment,6709,5142,4630,3027,4996,6501
Argentina,Automotive products,5950,4987,4451,2918,4892,6348
Argentina,Textiles,114,105,99,64,70,95
Argentina,Clothing,39,27,30,21,29,35
Armenia,Agricultural products,625,670,775,706,871,1235
Armenia,Fuels and mining products,863,819,938,872,1154,1213
Armenia,Manufactures,505,710,673,506,806,2443
