Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
World,SI3_AGG - TO - Total merchandise,World,17741325,19550037,19017108,17653275,22365766,24925766
World,SI3_AGG - AG - Agricultural products,World,1731381,1810271,1788200,1809475,2148665,2325521
World,SI3_AGG - AGFO - Food,World,1473948,1533561,1533159,1573538,1836335,2007666
World,SI3_AGG - MI - Fuels and mining products,World,2611396,3264056,3102597,2326889,3670710,4950975
World,SI3_AGG - MIFU - Fuels,World,1948478,2528513,2370333,1571511,2555970,3865877
World,SI3_AGG - MA - Manufactures,World,12007190,13004657,12747178,12142257,14881261,15720273
World,SI3_AGG - MAIS - Iron and steel,World,415820,470188,419202,363882,585812,620911
World,SI3_AGG - MACH - Chemicals,World,1994820,2246525,2203346,2208490,2788143,3055704
World,SI3_AGG - MACHPH - Pharmaceuticals,World,566738,635750,669759,734080,881509,909778
World,SI3_AGG - MAMT - Machinery and transport equipment,World,6170129,6637822,6498356,6165365,7351347,7670030
World,SI3_AGG - MAMTOF - Office and telecom equipment,World,1911417,2074207,2025585,2103951,2506315,2568481
World,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,624029,697842,670008,633708,738186,694116
World,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,644291,657680,640911,688472,789783,1091617
World,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,643097,718685,714666,781772,978345,782748
World,SI3_AGG - MAMTTE - Transport equipment,World,2133624,2221432,2167016,1825454,2128513,2220722
World,SI3_AGG - MAMTAU - Automotive products,World,1466119,1544234,1506414,1273434,1473596,1562271
World,SI3_AGG - MATE - Textiles,World,295431,312174,305436,328358,354221,350959
World,SI3_AGG - MACL - Clothing,World,465686,494493,495533,450079,548491,577700
Afghanistan,SI3_AGG - TO - Total merchandise,World,723,875,864,777,1035,992
Afghanistan,SI3_AGG - AG - Agricultural products,World,637,725,730,694,732,650
Afghanistan,SI3_AGG - AGFO - Food,World,495,579,548,529,545,418
Afghanistan,SI3_AGG - MI - Fuels and mining products,World,51,100,89,51,158,304
Afghanistan,SI3_AGG - MIFU - Fuels,World,44,89,70,27,100,247
Afghanistan,SI3_AGG - MA - Manufactures,World,34,34,44,25,143,37
Afghanistan,SI3_AGG - MAIS - Iron and steel,World,,,0,0,0,0
Afghanistan,SI3_AGG - MACH - Chemicals,World,1,0,1,1,2,1
Afghanistan,SI3_AGG - MACHPH - Pharmaceuticals,World,,,0,0,0,0
Afghanistan,SI3_AGG - MAMT - Machinery and transport equipment,World,0,4,1,5,77,5
Afghanistan,SI3_AGG - MAMTOF - Office and telecom equipment,World,,0,0,2,59,1
Afghanistan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,,,0,0,55,0
Afghanistan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,,0,0,1,2,0
Afghanistan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,,,0,0,2,0
Afghanistan,SI3_AGG - MAMTTE - Transport equipment,World,,2,1,2,5,1
Afghanistan,SI3_AGG - MAMTAU - Automotive products,World,,2,1,0,1,1
Afghanistan,SI3_AGG - MATE - Textiles,World,25,23,30,10,14,17
Afghanistan,SI3_AGG - MACL - Clothing,World,0,0,0,0,1,1
Africa,SI3_AGG - TO - Total merchandise,World,434318,508924,481551,397398,569144,665304
"African, Caribbean and Pacific States (ACP)",SI3_AGG - TO - Total merchandise,World,355659,409827,385846,334648,451037,522490
"Africa, CIS and Middle East",SI3_AGG - TO - Total merchandise,World,1845127,2270534,2122357,1662909,2383663,3028562
Albania,SI3_AGG - TO - Total merchandise,World,2292,2870,2716,2506,3559,4309
Albania,SI3_AGG - AG - Agricultural products,World,274,317,338,374,448,477
Albania,SI3_AGG - AGFO - Food,World,222,258,277,306,368,399
Albania,SI3_AGG - MI - Fuels and mining products,World,390,551,473,377,751,1110
Albania,SI3_AGG - MIFU - Fuels,World,196,383,301,207,486,734
Albania,SI3_AGG - MA - Manufactures,World,1626,1999,1902,1750,2355,2716
Albania,SI3_AGG - MAIS - Iron and steel,World,188,296,231,198,461,519
Albania,SI3_AGG - MACH - Chemicals,World,28,42,49,48,75,100
Albania,SI3_AGG - MACHPH - Pharmaceuticals,World,3,3,4,4,4,4
Albania,SI3_AGG - MAMT - Machinery and transport equipment,World,128,166,190,206,277,343
Albania,SI3_AGG - MAMTOF - Office and telecom equipment,World,11,14,14,16,19,24
Albania,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,4,2,2,3,4,4
Albania,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,7,9,7,11,13,18
Albania,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,2,5,2,2,2
